internal_id,Award ID,Recipient Name,Award Amount,Description,Awarding Agency,Awarding Sub Agency,Period of Performance Start Date,Period of Performance Current End Date,NAICS Code,NAICS Description,PSC Code,awarding_agency_id,agency_slug,generated_internal_id,_searched_as,Company
291076278,6973GH21F00687,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,44793.04,TASK 17 - ESC NATIONAL WIRELESS PROGRAM (LH) 6973GH-19-D-00031 - OPTION YR 2 COR:  LANCE BROWN,Department of Transportation,Federal Aviation Administration,,,,,,731.0,department-of-transportation,CONT_AWD_6973GH21F00687_6920_6973GH19D00031_6920,Science Applications International Corporation,SAIC
349626872,W9124P24P0095,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,44658.0,"15206-24 HELP DESK, JRE, FOR YEAR 2024",Department of Defense,Department of the Army,,,,,,1173.0,department-of-defense,CONT_AWD_W9124P24P0095_9700_-NONE-_-NONE-,Science Applications International Corporation,SAIC
349625702,W9124P23F1014,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,43782.0,"HELP DESK, JRE, FOR YEAR 2023",Department of Defense,Department of the Army,,,,,,1173.0,department-of-defense,CONT_AWD_W9124P23F1014_9700_W52P1J18DA075_9700,Science Applications International Corporation,SAIC
277756205,140D0424F0548,SCIENCE APPLICATIONS INTERNATIONAL CORP,43645.0,OSMRE KITEWORKS SECURE FILE TRANSFER,Department of the Interior,Departmental Offices,,,,,,209.0,department-of-the-interior,CONT_AWD_140D0424F0548_1406_IND13PC00025_1406,Science Applications International Corporation,SAIC
298613063,FA877317F0085,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,42672.53,"IGF::CL::IGF CYBER ASSESSMENT, ENGINEERING, AND TECHNICAL SERVICES (CAETS) 2 VICTORY NET CVA (CYBER VULNERABILITY ASSESSMENT)",Department of Defense,Department of the Air Force,,,,,,1173.0,department-of-defense,CONT_AWD_FA877317F0085_9700_FA877317D0003_9700,Science Applications International Corporation,SAIC
298550465,FA860421FB102,SCIENCE APPLICATIONS INTERNATIONAL CORP,42026.0,"SEWP V CONTRACT,   CATEGORY B, GROUP D  F&O",Department of Defense,Department of the Air Force,,,,,,1173.0,department-of-defense,CONT_AWD_FA860421FB102_9700_NNG15SC52B_8000,Science Applications International Corporation,SAIC
306488296,HC102821F0149,SCIENCE APPLICATIONS INTERNATIONAL CORP,41400.0,UNI5001671-P,Department of Defense,Defense Information Systems Agency,,,,,,1173.0,department-of-defense,CONT_AWD_HC102821F0149_9700_NNG15SC52B_8000,Science Applications International Corporation,SAIC
298613239,FA877318F0092,"ENGILITY SERVICES, LLC",41376.69,"CYBER ASSESSMENT, ENGINEERING,&TECHNICAL SERVICES (CAETS) 2   EARLY WARNING RADAR (EWR) CLEAR CYBER VULNERABILITY ASSESSMENT (CVA)",Department of Defense,Department of the Air Force,,,,,,1173.0,department-of-defense,CONT_AWD_FA877318F0092_9700_FA877317D0003_9700,Engility,SAIC
298190457,FA483020P0048,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,41259.0,JRE HELPDESK,Department of Defense,Department of the Air Force,,,,,,1173.0,department-of-defense,CONT_AWD_FA483020P0048_9700_-NONE-_-NONE-,Science Applications International Corporation,SAIC
298149418,FA480019CA025,"ENGILITY SERVICES, LLC",40892.58,IGF::OT::IGF JRE HELP DESK,Department of Defense,Department of the Air Force,,,,,,1173.0,department-of-defense,CONT_AWD_FA480019CA025_9700_-NONE-_-NONE-,Engility,SAIC
